"Campaign name",Age,Gender,Day,Reach,Impressions,Frequency,"Amount spent (USD)","Attribution setting","Clicks (all)","CTR (all)","Reporting starts","Reporting ends"
"Cubby's Bennington",55-64,unknown,2026-08-26,3,3,1,0.01,"7-day click or 1-day view",0,0,2026-08-26,2026-08-26
"Cubby's Bennington",65+,unknown,2026-08-26,8,10,1.25,0.1,"7-day click or 1-day view",1,10,2026-08-26,2026-08-26
"Cubby's Bennington",18-24,female,2026-08-26,23,26,1.13043478,0.31,"7-day click or 1-day view",1,3.84615385,2026-08-26,2026-08-26
"Cubby's Bennington",25-34,male,2026-08-26,169,187,1.10650888,1.39,"7-day click or 1-day view",5,2.67379679,2026-08-26,2026-08-26
"Cubby's Bennington",65+,male,2026-08-26,392,458,1.16836735,6.35,"7-day click or 1-day view",22,4.80349345,2026-08-26,2026-08-26
"Cubby's Bennington",35-44,male,2026-08-26,201,220,1.09452736,1.69,"7-day click or 1-day view",9,4.09090909,2026-08-26,2026-08-26
"Square Donut",35-44,male,2026-08-26,142,149,1.04929577,0.82,"7-day click or 1-day view",5,3.3557047,2026-08-26,2026-08-26
"Cubby's Bennington",65+,female,2026-08-26,366,430,1.17486339,6.84,"7-day click or 1-day view",33,7.6744186,2026-08-26,2026-08-26
"Cubby's Bennington",45-54,unknown,2026-08-26,5,6,1.2,0.03,"7-day click or 1-day view",0,0,2026-08-26,2026-08-26
"Cubby's Bennington",55-64,female,2026-08-26,193,212,1.0984456,3.06,"7-day click or 1-day view",10,4.71698113,2026-08-26,2026-08-26
"Godfather’s Pizza - Saddle Creek",18-24,unknown,2026-08-26,9,10,1.11111111,0.08,"7-day click or 1-day view",0,0,2026-08-26,2026-08-26
"Godfather’s Pizza - Saddle Creek",45-54,unknown,2026-08-26,2,2,1,0.02,"7-day click or 1-day view",0,0,2026-08-26,2026-08-26
"Cubby's Bennington",25-34,unknown,2026-08-26,1,1,1,0,"7-day click or 1-day view",0,0,2026-08-26,2026-08-26
"Cubby's Bennington",35-44,unknown,2026-08-26,1,1,1,0.02,"7-day click or 1-day view",0,0,2026-08-26,2026-08-26
"Square Donut",55-64,male,2026-08-26,132,152,1.15151515,0.95,"7-day click or 1-day view",5,3.28947368,2026-08-26,2026-08-26
"Cubby's Bennington",25-34,female,2026-08-26,67,72,1.07462687,0.5,"7-day click or 1-day view",3,4.16666667,2026-08-26,2026-08-26
"Cubby's Bennington",45-54,female,2026-08-26,132,148,1.12121212,1.23,"7-day click or 1-day view",5,3.37837838,2026-08-26,2026-08-26
"Cubby's Bennington",18-24,male,2026-08-26,48,53,1.10416667,0.35,"7-day click or 1-day view",2,3.77358491,2026-08-26,2026-08-26
"Cubby's Bennington",45-54,male,2026-08-26,191,214,1.12041885,1.8,"7-day click or 1-day view",11,5.14018692,2026-08-26,2026-08-26
"Cubby's Bennington",35-44,female,2026-08-26,95,102,1.07368421,0.72,"7-day click or 1-day view",3,2.94117647,2026-08-26,2026-08-26
"Today's Dental - 2026",35-44,unknown,2026-08-25,1,1,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Today's Dental - 2026",18-24,male,2026-08-25,79,88,1.11392405,0.66,"7-day click or 1-day view",2,2.27272727,2026-08-25,2026-08-25
"Today's Dental - 2026",55-64,female,2026-08-25,360,491,1.36388889,6.1,"7-day click or 1-day view",15,3.05498982,2026-08-25,2026-08-25
"Today's Dental - 2026",35-44,male,2026-08-25,130,164,1.26153846,1.31,"7-day click or 1-day view",1,0.6097561,2026-08-25,2026-08-25
"Today's Dental - 2026",18-24,unknown,2026-08-25,3,3,1,0.03,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Today's Dental - 2026",45-54,unknown,2026-08-25,3,4,1.33333333,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Today's Dental - 2026",25-34,female,2026-08-25,115,141,1.22608696,1.37,"7-day click or 1-day view",2,1.41843972,2026-08-25,2026-08-25
"Today's Dental - 2026",18-24,female,2026-08-25,54,66,1.22222222,0.8,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Today's Dental - 2026",65+,unknown,2026-08-25,5,6,1.2,0.12,"7-day click or 1-day view",1,16.66666667,2026-08-25,2026-08-25
"Today's Dental - 2026",25-34,unknown,2026-08-25,2,2,1,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Today's Dental - 2026",55-64,unknown,2026-08-25,2,2,1,0.04,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",25-34,unknown,2026-08-25,1,1,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",35-44,unknown,2026-08-25,1,1,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",45-54,unknown,2026-08-25,2,2,1,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",45-54,male,2026-08-25,46,49,1.06521739,0.33,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",25-34,male,2026-08-25,58,58,1,0.47,"7-day click or 1-day view",1,1.72413793,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",25-34,female,2026-08-25,27,27,1,0.16,"7-day click or 1-day view",1,3.7037037,2026-08-25,2026-08-25
"Today's Dental - 2026",65+,female,2026-08-25,516,720,1.39534884,11.26,"7-day click or 1-day view",15,2.08333333,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",45-54,female,2026-08-25,62,69,1.11290323,0.49,"7-day click or 1-day view",2,2.89855072,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",35-44,female,2026-08-25,45,45,1,0.28,"7-day click or 1-day view",3,6.66666667,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",55-64,female,2026-08-25,119,137,1.1512605,1.48,"7-day click or 1-day view",8,5.83941606,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",65+,male,2026-08-25,119,129,1.08403361,1.5,"7-day click or 1-day view",9,6.97674419,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",18-24,male,2026-08-25,31,34,1.09677419,0.22,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",55-64,male,2026-08-25,80,91,1.1375,0.72,"7-day click or 1-day view",4,4.3956044,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",65+,female,2026-08-25,321,356,1.10903427,4.3,"7-day click or 1-day view",23,6.46067416,2026-08-25,2026-08-25
"No Name Nutrition",35-44,female,2026-08-25,148,157,1.06081081,1.1,"7-day click or 1-day view",5,3.18471338,2026-08-25,2026-08-25
"Today's Dental - 2026",25-34,male,2026-08-25,118,157,1.33050847,1.47,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Controlled Comfort",55-64,male,2026-08-25,189,227,1.2010582,2.46,"7-day click or 1-day view",12,5.28634361,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",18-24,female,2026-08-25,7,8,1.14285714,0.04,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"No Name Nutrition",65+,female,2026-08-25,616,727,1.18019481,6.57,"7-day click or 1-day view",46,6.32737276,2026-08-25,2026-08-25
"No Name Nutrition",25-34,female,2026-08-25,64,69,1.078125,0.55,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"No Name Nutrition",45-54,female,2026-08-25,226,252,1.11504425,2.15,"7-day click or 1-day view",15,5.95238095,2026-08-25,2026-08-25
"No Name Nutrition",55-64,female,2026-08-25,366,420,1.14754098,3.47,"7-day click or 1-day view",27,6.42857143,2026-08-25,2026-08-25
"No Name Nutrition",65+,male,2026-08-25,261,299,1.14559387,1.83,"7-day click or 1-day view",9,3.01003344,2026-08-25,2026-08-25
"No Name Nutrition",45-54,unknown,2026-08-25,3,3,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Controlled Comfort",55-64,unknown,2026-08-25,1,1,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Controlled Comfort",25-34,unknown,2026-08-25,2,2,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Controlled Comfort",25-34,male,2026-08-25,94,102,1.08510638,1.51,"7-day click or 1-day view",2,1.96078431,2026-08-25,2026-08-25
"Controlled Comfort",35-44,male,2026-08-25,163,185,1.13496933,1.89,"7-day click or 1-day view",2,1.08108108,2026-08-25,2026-08-25
"Controlled Comfort",45-54,male,2026-08-25,181,222,1.22651934,4.49,"7-day click or 1-day view",21,9.45945946,2026-08-25,2026-08-25
"Today's Dental - 2026",35-44,female,2026-08-25,171,209,1.22222222,2.15,"7-day click or 1-day view",5,2.3923445,2026-08-25,2026-08-25
"Controlled Comfort",65+,female,2026-08-25,502,655,1.30478088,8.98,"7-day click or 1-day view",32,4.88549618,2026-08-25,2026-08-25
"Controlled Comfort",65+,male,2026-08-25,392,460,1.17346939,8.31,"7-day click or 1-day view",24,5.2173913,2026-08-25,2026-08-25
"Controlled Comfort",55-64,female,2026-08-25,174,225,1.29310345,2.63,"7-day click or 1-day view",8,3.55555556,2026-08-25,2026-08-25
"Controlled Comfort",35-44,female,2026-08-25,93,103,1.10752688,2.17,"7-day click or 1-day view",3,2.91262136,2026-08-25,2026-08-25
"Controlled Comfort",25-34,female,2026-08-25,34,38,1.11764706,0.2,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Controlled Comfort",45-54,female,2026-08-25,99,116,1.17171717,1.05,"7-day click or 1-day view",2,1.72413793,2026-08-25,2026-08-25
"Controlled Comfort",35-44,unknown,2026-08-25,4,5,1.25,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Controlled Comfort",65+,unknown,2026-08-25,9,25,2.77777778,0.32,"7-day click or 1-day view",3,12,2026-08-25,2026-08-25
"Today's Dental - 2026",45-54,male,2026-08-25,190,255,1.34210526,1.97,"7-day click or 1-day view",4,1.56862745,2026-08-25,2026-08-25
"Today's Dental - 2026",45-54,female,2026-08-25,194,239,1.23195876,2.86,"7-day click or 1-day view",6,2.51046025,2026-08-25,2026-08-25
"Today's Dental - 2026",55-64,male,2026-08-25,227,324,1.42731278,2.72,"7-day click or 1-day view",6,1.85185185,2026-08-25,2026-08-25
"Today's Dental - 2026",65+,male,2026-08-25,309,461,1.49190939,5.41,"7-day click or 1-day view",13,2.81995662,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",35-44,male,2026-08-25,56,56,1,0.37,"7-day click or 1-day view",1,1.78571429,2026-08-25,2026-08-25
Cubbys,18-24,male,2026-08-25,20,43,2.15,0.06,"7-day click or 1-day view",2,4.65116279,2026-08-25,2026-08-25
"Catholic Cemeteries 2026",65+,unknown,2026-08-25,4,4,1,0.04,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Boomer - Traffic",45-54,unknown,2026-08-25,7,7,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Superior Honda",65+,male,2026-08-25,101,196,1.94059406,2.64,"7-day click or 1-day view",10,5.10204082,2026-08-25,2026-08-25
"Superior Honda",55-64,female,2026-08-25,59,96,1.62711864,0.93,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Superior Honda",45-54,female,2026-08-25,45,57,1.26666667,0.59,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Superior Honda",65+,female,2026-08-25,165,304,1.84242424,7.3,"7-day click or 1-day view",32,10.52631579,2026-08-25,2026-08-25
"Superior Honda",35-44,female,2026-08-25,28,41,1.46428571,0.29,"7-day click or 1-day view",1,2.43902439,2026-08-25,2026-08-25
"Superior Honda",35-44,male,2026-08-25,76,96,1.26315789,0.79,"7-day click or 1-day view",2,2.08333333,2026-08-25,2026-08-25
"Superior Honda",25-34,male,2026-08-25,47,57,1.21276596,0.74,"7-day click or 1-day view",2,3.50877193,2026-08-25,2026-08-25
"Superior Honda",25-34,female,2026-08-25,27,35,1.2962963,0.29,"7-day click or 1-day view",1,2.85714286,2026-08-25,2026-08-25
"Superior Honda",18-24,female,2026-08-25,4,4,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Superior Honda",18-24,male,2026-08-25,6,6,1,0.06,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Superior Honda",65+,unknown,2026-08-25,2,3,1.5,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Boomer - Traffic",35-44,unknown,2026-08-25,3,4,1.33333333,0.03,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Superior Honda",45-54,male,2026-08-25,39,48,1.23076923,0.6,"7-day click or 1-day view",2,4.16666667,2026-08-25,2026-08-25
"Boomer - Traffic",35-44,female,2026-08-25,210,216,1.02857143,0.58,"7-day click or 1-day view",2,0.92592593,2026-08-25,2026-08-25
"Boomer - Traffic",45-54,male,2026-08-25,494,517,1.0465587,0.96,"7-day click or 1-day view",3,0.58027079,2026-08-25,2026-08-25
"Boomer - Traffic",55-64,female,2026-08-25,457,478,1.04595186,1.8,"7-day click or 1-day view",8,1.67364017,2026-08-25,2026-08-25
"Boomer - Traffic",65+,male,2026-08-25,642,808,1.25856698,3.42,"7-day click or 1-day view",9,1.11386139,2026-08-25,2026-08-25
"Boomer - Traffic",45-54,female,2026-08-25,384,398,1.03645833,1,"7-day click or 1-day view",10,2.51256281,2026-08-25,2026-08-25
"Boomer - Traffic",35-44,male,2026-08-25,307,316,1.02931596,0.44,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Boomer - Traffic",65+,female,2026-08-25,886,1244,1.40406321,4.8,"7-day click or 1-day view",21,1.68810289,2026-08-25,2026-08-25
"Boomer - Traffic",55-64,male,2026-08-25,490,534,1.08979592,1.3,"7-day click or 1-day view",8,1.49812734,2026-08-25,2026-08-25
"Boomer - Traffic",65+,unknown,2026-08-25,14,27,1.92857143,0.07,"7-day click or 1-day view",1,3.7037037,2026-08-25,2026-08-25
"Boomer - Traffic",55-64,unknown,2026-08-25,7,7,1,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"No Name Nutrition",25-34,male,2026-08-25,37,39,1.05405405,0.23,"7-day click or 1-day view",2,5.12820513,2026-08-25,2026-08-25
"Superior Honda",55-64,male,2026-08-25,72,99,1.375,1.67,"7-day click or 1-day view",4,4.04040404,2026-08-25,2026-08-25
"Superior Honda",45-54,unknown,2026-08-25,3,3,1,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Jill of all Trades",55-64,unknown,2026-08-25,2,2,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
Cubbys,35-44,unknown,2026-08-25,2,2,1,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Jill of all Trades",35-44,unknown,2026-08-25,2,2,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Jill of all Trades",35-44,female,2026-08-25,139,192,1.38129496,1.22,"7-day click or 1-day view",1,0.52083333,2026-08-25,2026-08-25
"Jill of all Trades",35-44,male,2026-08-25,220,268,1.21818182,1.65,"7-day click or 1-day view",1,0.37313433,2026-08-25,2026-08-25
"Jill of all Trades",55-64,female,2026-08-25,150,188,1.25333333,1.64,"7-day click or 1-day view",2,1.06382979,2026-08-25,2026-08-25
"Jill of all Trades",55-64,male,2026-08-25,178,210,1.17977528,1.42,"7-day click or 1-day view",2,0.95238095,2026-08-25,2026-08-25
"Jill of all Trades",65+,male,2026-08-25,248,318,1.28225806,4.46,"7-day click or 1-day view",3,0.94339623,2026-08-25,2026-08-25
"Jill of all Trades",65+,female,2026-08-25,404,512,1.26732673,9.11,"7-day click or 1-day view",10,1.953125,2026-08-25,2026-08-25
"Jill of all Trades",45-54,female,2026-08-25,194,239,1.23195876,1.61,"7-day click or 1-day view",1,0.41841004,2026-08-25,2026-08-25
"Jill of all Trades",65+,unknown,2026-08-25,6,7,1.16666667,0.04,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Jill of all Trades",45-54,male,2026-08-25,240,319,1.32916667,2.06,"7-day click or 1-day view",1,0.31347962,2026-08-25,2026-08-25
"Jill of all Trades",45-54,unknown,2026-08-25,1,2,2,0.01,"7-day click or 1-day view",1,50,2026-08-25,2026-08-25
Cubbys,45-54,unknown,2026-08-25,3,7,2.33333333,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
Cubbys,55-64,unknown,2026-08-25,3,12,4,0.03,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
Cubbys,65+,unknown,2026-08-25,10,28,2.8,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
Cubbys,18-24,female,2026-08-25,38,74,1.94736842,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
Cubbys,25-34,female,2026-08-25,100,179,1.79,0.08,"7-day click or 1-day view",3,1.67597765,2026-08-25,2026-08-25
Cubbys,45-54,male,2026-08-25,93,155,1.66666667,0.36,"7-day click or 1-day view",4,2.58064516,2026-08-25,2026-08-25
Cubbys,25-34,male,2026-08-25,62,101,1.62903226,0.22,"7-day click or 1-day view",2,1.98019802,2026-08-25,2026-08-25
Cubbys,55-64,female,2026-08-25,252,519,2.05952381,0.67,"7-day click or 1-day view",15,2.89017341,2026-08-25,2026-08-25
Cubbys,65+,male,2026-08-25,287,537,1.87108014,1.49,"7-day click or 1-day view",16,2.97951583,2026-08-25,2026-08-25
Cubbys,45-54,female,2026-08-25,156,291,1.86538462,0.48,"7-day click or 1-day view",2,0.68728522,2026-08-25,2026-08-25
Cubbys,35-44,female,2026-08-25,139,241,1.73381295,0.29,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
Cubbys,35-44,male,2026-08-25,101,162,1.6039604,0.38,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
Cubbys,65+,female,2026-08-25,907,2269,2.5016538,2.07,"7-day click or 1-day view",30,1.32216836,2026-08-25,2026-08-25
Cubbys,55-64,male,2026-08-25,166,237,1.42771084,0.77,"7-day click or 1-day view",9,3.79746835,2026-08-25,2026-08-25
"No Name Nutrition",18-24,female,2026-08-25,11,12,1.09090909,0.08,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"No Name Nutrition",35-44,male,2026-08-25,98,113,1.15306122,0.57,"7-day click or 1-day view",4,3.53982301,2026-08-25,2026-08-25
"Boomstock 2026",55-64,female,2026-08-25,176,187,1.0625,1.55,"7-day click or 1-day view",24,12.8342246,2026-08-25,2026-08-25
"Square Donut",45-54,unknown,2026-08-25,1,1,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Great Plains State Bank",45-54,male,2026-08-25,34,55,1.61764706,0.44,"7-day click or 1-day view",1,1.81818182,2026-08-25,2026-08-25
"Great Plains State Bank",45-54,female,2026-08-25,26,45,1.73076923,0.37,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Great Plains State Bank",55-64,female,2026-08-25,37,63,1.7027027,0.77,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Great Plains State Bank",55-64,male,2026-08-25,48,138,2.875,1.42,"7-day click or 1-day view",1,0.72463768,2026-08-25,2026-08-25
"Great Plains State Bank",25-34,female,2026-08-25,22,37,1.68181818,0.45,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Great Plains State Bank",35-44,male,2026-08-25,36,64,1.77777778,0.47,"7-day click or 1-day view",1,1.5625,2026-08-25,2026-08-25
"Great Plains State Bank",25-34,male,2026-08-25,25,43,1.72,0.32,"7-day click or 1-day view",3,6.97674419,2026-08-25,2026-08-25
"Great Plains State Bank",65+,male,2026-08-25,123,273,2.2195122,4.56,"7-day click or 1-day view",5,1.83150183,2026-08-25,2026-08-25
"Great Plains State Bank",65+,female,2026-08-25,101,200,1.98019802,3.61,"7-day click or 1-day view",7,3.5,2026-08-25,2026-08-25
"Great Plains State Bank",55-64,unknown,2026-08-25,2,3,1.5,0.04,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Great Plains State Bank",45-54,unknown,2026-08-25,1,1,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Square Donut",35-44,unknown,2026-08-25,2,2,1,0.03,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Great Plains State Bank",18-24,female,2026-08-25,3,3,1,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Square Donut",45-54,male,2026-08-25,133,143,1.07518797,0.81,"7-day click or 1-day view",7,4.8951049,2026-08-25,2026-08-25
"Square Donut",45-54,female,2026-08-25,255,276,1.08235294,2.1,"7-day click or 1-day view",10,3.62318841,2026-08-25,2026-08-25
"Square Donut",55-64,male,2026-08-25,151,166,1.09933775,1.02,"7-day click or 1-day view",2,1.20481928,2026-08-25,2026-08-25
"Square Donut",18-24,female,2026-08-25,171,181,1.05847953,1.12,"7-day click or 1-day view",3,1.65745856,2026-08-25,2026-08-25
"Square Donut",55-64,female,2026-08-25,309,333,1.0776699,3.46,"7-day click or 1-day view",18,5.40540541,2026-08-25,2026-08-25
"Square Donut",18-24,male,2026-08-25,140,150,1.07142857,0.93,"7-day click or 1-day view",2,1.33333333,2026-08-25,2026-08-25
"Square Donut",65+,male,2026-08-25,184,213,1.1576087,1.72,"7-day click or 1-day view",7,3.28638498,2026-08-25,2026-08-25
"Square Donut",65+,female,2026-08-25,473,535,1.13107822,5.26,"7-day click or 1-day view",33,6.1682243,2026-08-25,2026-08-25
"Square Donut",25-34,male,2026-08-25,173,184,1.06358382,1.05,"7-day click or 1-day view",2,1.08695652,2026-08-25,2026-08-25
"Square Donut",25-34,female,2026-08-25,209,224,1.07177033,1.56,"7-day click or 1-day view",4,1.78571429,2026-08-25,2026-08-25
"Square Donut",35-44,female,2026-08-25,211,233,1.1042654,1.83,"7-day click or 1-day view",11,4.72103004,2026-08-25,2026-08-25
"Great Plains State Bank",35-44,female,2026-08-25,21,47,2.23809524,0.42,"7-day click or 1-day view",1,2.12765957,2026-08-25,2026-08-25
"AM 590 WOW",35-44,unknown,2026-08-25,1,1,1,0,"7-day click or 1-day view",1,100,2026-08-25,2026-08-25
"Square Donut",65+,unknown,2026-08-25,4,4,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Boomstock 2026",25-34,male,2026-08-25,2,2,1,0.02,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"No Name Nutrition",45-54,male,2026-08-25,116,130,1.12068966,0.52,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Boomstock 2026",65+,female,2026-08-25,348,384,1.10344828,3.38,"7-day click or 1-day view",50,13.02083333,2026-08-25,2026-08-25
"Boomstock 2026",45-54,male,2026-08-25,18,19,1.05555556,0.11,"7-day click or 1-day view",1,5.26315789,2026-08-25,2026-08-25
"Boomstock 2026",55-64,male,2026-08-25,89,93,1.04494382,0.61,"7-day click or 1-day view",8,8.60215054,2026-08-25,2026-08-25
"Boomstock 2026",35-44,male,2026-08-25,10,10,1,0.06,"7-day click or 1-day view",3,30,2026-08-25,2026-08-25
"Boomstock 2026",65+,male,2026-08-25,225,250,1.11111111,1.95,"7-day click or 1-day view",37,14.8,2026-08-25,2026-08-25
"Boomstock 2026",65+,unknown,2026-08-25,6,7,1.16666667,0.04,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Boomstock 2026",45-54,female,2026-08-25,23,31,1.34782609,0.31,"7-day click or 1-day view",12,38.70967742,2026-08-25,2026-08-25
"Boomstock 2026",35-44,female,2026-08-25,10,10,1,0.04,"7-day click or 1-day view",2,20,2026-08-25,2026-08-25
"Boomstock 2026",25-34,female,2026-08-25,4,4,1,0.04,"7-day click or 1-day view",1,25,2026-08-25,2026-08-25
"Boomstock 2026",18-24,female,2026-08-25,2,2,1,0.06,"7-day click or 1-day view",1,50,2026-08-25,2026-08-25
"AM 590 WOW",45-54,unknown,2026-08-25,2,2,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"AM 590 WOW",55-64,unknown,2026-08-25,8,9,1.125,0.06,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"AM 590 WOW",65+,unknown,2026-08-25,15,16,1.06666667,0.1,"7-day click or 1-day view",1,6.25,2026-08-25,2026-08-25
"AM 590 WOW",35-44,male,2026-08-25,150,170,1.13333333,1.14,"7-day click or 1-day view",13,7.64705882,2026-08-25,2026-08-25
"AM 590 WOW",65+,male,2026-08-25,526,599,1.13878327,5.68,"7-day click or 1-day view",42,7.01168614,2026-08-25,2026-08-25
"AM 590 WOW",45-54,male,2026-08-25,281,330,1.17437722,2.26,"7-day click or 1-day view",27,8.18181818,2026-08-25,2026-08-25
"AM 590 WOW",65+,female,2026-08-25,587,688,1.17206133,7.91,"7-day click or 1-day view",79,11.48255814,2026-08-25,2026-08-25
"AM 590 WOW",55-64,male,2026-08-25,349,379,1.08595989,2.87,"7-day click or 1-day view",23,6.06860158,2026-08-25,2026-08-25
"AM 590 WOW",25-34,male,2026-08-25,41,44,1.07317073,0.2,"7-day click or 1-day view",1,2.27272727,2026-08-25,2026-08-25
"AM 590 WOW",45-54,female,2026-08-25,94,102,1.08510638,0.86,"7-day click or 1-day view",5,4.90196078,2026-08-25,2026-08-25
"AM 590 WOW",55-64,female,2026-08-25,252,288,1.14285714,2.12,"7-day click or 1-day view",23,7.98611111,2026-08-25,2026-08-25
"AM 590 WOW",35-44,female,2026-08-25,42,47,1.11904762,0.34,"7-day click or 1-day view",9,19.14893617,2026-08-25,2026-08-25
"AM 590 WOW",25-34,female,2026-08-25,8,8,1,0.05,"7-day click or 1-day view",1,12.5,2026-08-25,2026-08-25
"Square Donut",35-44,male,2026-08-25,146,149,1.02054795,0.75,"7-day click or 1-day view",2,1.34228188,2026-08-25,2026-08-25
"Great Plains State Bank",18-24,male,2026-08-25,24,40,1.66666667,0.42,"7-day click or 1-day view",1,2.5,2026-08-25,2026-08-25
"Square Donut",25-34,unknown,2026-08-25,2,2,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Godfather’s N 30th",45-54,male,2026-08-25,320,329,1.028125,1.97,"7-day click or 1-day view",23,6.99088146,2026-08-25,2026-08-25
"Godfather’s Pizza - Saddle Creek",18-24,unknown,2026-08-25,15,16,1.06666667,0.0500282,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Godfather’s Pizza - Saddle Creek",45-54,unknown,2026-08-25,3,3,1,0.01000564,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Godfather’s N 30th",35-44,unknown,2026-08-25,2,2,1,0.01,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Godfather’s N 30th",45-54,unknown,2026-08-25,1,1,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Godfather’s N 30th",25-34,unknown,2026-08-25,1,1,1,0,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Godfather’s N 30th",65+,unknown,2026-08-25,8,9,1.125,0.11,"7-day click or 1-day view",1,11.11111111,2026-08-25,2026-08-25
"Godfather’s N 30th",25-34,female,2026-08-25,54,56,1.03703704,0.41,"7-day click or 1-day view",5,8.92857143,2026-08-25,2026-08-25
"Godfather’s N 30th",18-24,female,2026-08-25,15,15,1,0.11,"7-day click or 1-day view",1,6.66666667,2026-08-25,2026-08-25
"Godfather’s N 30th",35-44,female,2026-08-25,130,135,1.03846154,0.81,"7-day click or 1-day view",10,7.40740741,2026-08-25,2026-08-25
"Godfather’s N 30th",18-24,male,2026-08-25,26,26,1,0.16,"7-day click or 1-day view",0,0,2026-08-25,2026-08-25
"Godfather’s N 30th",55-64,female,2026-08-25,227,243,1.07048458,2.08,"7-day click or 1-day view",24,9.87654321,2026-08-25,2026-08-25
"Godfather’s N 30th",25-34,male,2026-08-25,121,128,1.05785124,0.72,"7-day click or 1-day view",3,2.34375,2026-08-25,2026-08-25
