"Campaign name",Age,Gender,Day,Reach,Impressions,Frequency,"Amount spent (USD)","Attribution setting","Clicks (all)","CTR (all)","Reporting starts","Reporting ends"
"Square Donut",35-44,unknown,2026-09-02,5,5,1,0.03,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"Great Plains State Bank",35-44,male,2026-09-02,42,63,1.5,0.62,"7-day click or 1-day view",1,1.58730159,2026-09-02,2026-09-02
"Square Donut",55-64,unknown,2026-09-02,7,11,1.57142857,0.04,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"Square Donut",18-24,unknown,2026-09-02,20,21,1.05,0.09,"7-day click or 1-day view",1,4.76190476,2026-09-02,2026-09-02
"Square Donut",55-64,male,2026-09-02,241,279,1.15767635,2.07,"7-day click or 1-day view",4,1.43369176,2026-09-02,2026-09-02
"Square Donut",55-64,female,2026-09-02,301,350,1.1627907,3.26,"7-day click or 1-day view",15,4.28571429,2026-09-02,2026-09-02
"Square Donut",35-44,male,2026-09-02,286,328,1.14685315,1.96,"7-day click or 1-day view",11,3.35365854,2026-09-02,2026-09-02
"Square Donut",18-24,male,2026-09-02,403,453,1.12406948,2.65,"7-day click or 1-day view",16,3.53200883,2026-09-02,2026-09-02
"Square Donut",65+,male,2026-09-02,293,384,1.3105802,3.31,"7-day click or 1-day view",17,4.42708333,2026-09-02,2026-09-02
"Square Donut",45-54,female,2026-09-02,214,240,1.12149533,2.08,"7-day click or 1-day view",7,2.91666667,2026-09-02,2026-09-02
"Square Donut",45-54,male,2026-09-02,234,275,1.17521368,1.58,"7-day click or 1-day view",7,2.54545455,2026-09-02,2026-09-02
"Square Donut",65+,female,2026-09-02,511,598,1.1702544,5.77,"7-day click or 1-day view",24,4.01337793,2026-09-02,2026-09-02
"Square Donut",25-34,male,2026-09-02,526,608,1.15589354,3.87,"7-day click or 1-day view",18,2.96052632,2026-09-02,2026-09-02
"Great Plains State Bank",55-64,female,2026-09-02,45,79,1.75555556,0.87,"7-day click or 1-day view",3,3.79746835,2026-09-02,2026-09-02
"Great Plains State Bank",18-24,female,2026-09-02,6,9,1.5,0.03,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"Square Donut",18-24,female,2026-09-02,546,632,1.15750916,4.3,"7-day click or 1-day view",15,2.37341772,2026-09-02,2026-09-02
"Freed by Real State",55-64,unknown,2026-09-02,1,1,1,0.02,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"No Name Nutrition",65+,male,2026-09-02,286,326,1.13986014,1.8,"7-day click or 1-day view",12,3.6809816,2026-09-02,2026-09-02
"Freed by Real State",25-34,female,2026-09-02,146,181,1.23972603,1.97,"7-day click or 1-day view",4,2.20994475,2026-09-02,2026-09-02
"Freed by Real State",45-54,male,2026-09-02,428,523,1.22196262,5.14,"7-day click or 1-day view",17,3.25047801,2026-09-02,2026-09-02
"Freed by Real State",35-44,male,2026-09-02,518,661,1.27606178,5.95,"7-day click or 1-day view",12,1.81543116,2026-09-02,2026-09-02
"Freed by Real State",25-34,male,2026-09-02,391,491,1.25575448,3.5,"7-day click or 1-day view",6,1.22199593,2026-09-02,2026-09-02
"Freed by Real State",45-54,female,2026-09-02,243,289,1.18930041,3.33,"7-day click or 1-day view",10,3.46020761,2026-09-02,2026-09-02
"Freed by Real State",35-44,female,2026-09-02,263,310,1.17870722,3.4,"7-day click or 1-day view",8,2.58064516,2026-09-02,2026-09-02
"Freed by Real State",35-44,unknown,2026-09-02,4,4,1,0.03,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"Freed by Real State",55-64,male,2026-09-02,45,60,1.33333333,0.55,"7-day click or 1-day view",2,3.33333333,2026-09-02,2026-09-02
"Freed by Real State",45-54,unknown,2026-09-02,5,8,1.6,0.03,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"Freed by Real State",25-34,unknown,2026-09-02,3,3,1,0.03,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"AM 590 WOW",45-54,unknown,2026-09-02,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"AM 590 WOW",25-34,male,2026-09-02,17,20,1.17647059,0.15,"7-day click or 1-day view",2,10,2026-09-02,2026-09-02
"AM 590 WOW",55-64,unknown,2026-09-02,2,4,2,0.04,"7-day click or 1-day view",1,25,2026-09-02,2026-09-02
"AM 590 WOW",35-44,male,2026-09-02,43,48,1.11627907,0.29,"7-day click or 1-day view",4,8.33333333,2026-09-02,2026-09-02
"AM 590 WOW",55-64,female,2026-09-02,186,215,1.15591398,1.94,"7-day click or 1-day view",20,9.30232558,2026-09-02,2026-09-02
"AM 590 WOW",25-34,female,2026-09-02,4,4,1,0.05,"7-day click or 1-day view",0,0,2026-09-02,2026-09-02
"AM 590 WOW",45-54,female,2026-09-02,58,75,1.29310345,0.59,"7-day click or 1-day view",9,12,2026-09-02,2026-09-02
"AM 590 WOW",35-44,female,2026-09-02,20,20,1,0.16,"7-day click or 1-day view",1,5,2026-09-02,2026-09-02
"AM 590 WOW",65+,female,2026-09-02,791,1040,1.3147914,13.28,"7-day click or 1-day view",177,17.01923077,2026-09-02,2026-09-02
"AM 590 WOW",65+,male,2026-09-02,516,581,1.12596899,6.33,"7-day click or 1-day view",47,8.08950086,2026-09-02,2026-09-02
"AM 590 WOW",45-54,male,2026-09-02,138,150,1.08695652,0.91,"7-day click or 1-day view",6,4,2026-09-02,2026-09-02
"AM 590 WOW",65+,unknown,2026-09-02,14,22,1.57142857,0.22,"7-day click or 1-day view",2,9.09090909,2026-09-02,2026-09-02
"AM 590 WOW",55-64,male,2026-09-02,176,192,1.09090909,1.38,"7-day click or 1-day view",8,4.16666667,2026-09-02,2026-09-02
"Square Donut",35-44,female,2026-09-02,337,371,1.10089021,2.64,"7-day click or 1-day view",12,3.23450135,2026-09-02,2026-09-02
"Freed by Real State",55-64,female,2026-09-02,41,48,1.17073171,0.55,"7-day click or 1-day view",3,6.25,2026-09-02,2026-09-02
"Square Donut",25-34,female,2026-09-02,584,676,1.15753425,4.74,"7-day click or 1-day view",24,3.55029586,2026-09-02,2026-09-02
